AÑO;MES;CONGLOME;VIVIENDA;HOGAR;UBIGEO;DOMINIO;ESTRATO;PERIODO;TIPENC;FECENT;RESULT;PANEL;P22;P23;P24A;P24B;P25$1;P25$2;P25$3;P25$4;P25$5;P101;P102;P103;P103A;P104;P104A;P104B1;P104B2;P105A;P105B;P106;P106A;P106B;P107B1
2023;7;5231;55;11;21804;5;7;5;3;20230729;1;1;2;     .;1;1;0;1;0;1;0;1;3;5;4;4;3;2;2;2; ;150;2; ;2
2023;7;5231;56;11;21804;5;7;5;3;20230727;7; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2023;7;5231;130;11;21804;5;7;5;3;20230726;7; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2023;7;5231;141;11;21804;5;7;5;3;20230727;1;1;2;     .;1;1;0;1;0;1;0;1;3;6;4;3;1;2;2;2; ;50;2; ;2
2023;7;5231;144;11;21804;5;7;5;3;20230726;7; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2023;7;5231;145;11;21804;5;7;5;3;20230728;1;1;2;     .;3;3;0;1;0;1;0;1;3;6;4;3;2;2;2;6; ;100; ; ;2
2023;7;5231;150;11;21804;5;7;5;3;20230728;4; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2023;7;5231;155;11;21804;5;7;5;3;20230726;1;1;2;     .;3;3;0;0;0;1;0;1;3;6;4;8;2;2;2;2; ;150;2; ;2
2023;7;5263;10;11;20101;5;3;2;3;20230712;1;1;2;     .;1;2;1;0;1;1;0;1;1;2;1;3;2;1;1;2; ;500;1;1;2
2023;7;5263;26;11;20101;5;3;2;3;20230713;7; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2023;7;5263;42;11;20101;5;3;2;3;20230712;7; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2023;7;5263;59;11;20101;5;3;2;3;20230716;1;1;2;     .;2;3;1;0;1;1;0;1;1;3;1;5;3;1;1;2; ;1000;1;1;2
2023;7;5263;77;11;20101;5;3;2;3;20230717;1;2;2;     .;1;1;1;0;1;1;0;1;1;5;4;13;9;1;1;2; ;650;1;1;2
2023;7;5263;108;11;20101;5;3;2;3;20230716;2;1;1;20601;1;3;1;0;1;1;0;1;1;5;1;4;2;1;1;6; ;1500; ; ;2
2023;7;5263;121;11;20101;5;3;2;3;20230718;1;1;2;     .;1;3;1;0;1;1;0;1;3;3;4;5;3;3;3;2; ;500;1;1;2
2023;7;5263;168;11;20101;5;3;2;3;20230712;7; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2023;7;5657;129;11;40409;6;7;5;3;20230725;5; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2023;7;5657;131;11;40409;6;7;5;3;20230729;2;1;2;     .;3;3;1;0;1;1;0;1;3;5;4;3;2;2;2;2; ;50;1;1;2
2023;7;5657;329;11;40409;6;7;5;3;20230727;5; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2023;7;5657;343;11;40409;6;7;5;3;20230727;1;1;1;40409;3;3;0;0;0;1;0;1;3;6;4;1;1;2;2;2; ;50;2; ;2
2023;7;5657;345;11;40409;6;7;5;3;20230727;1;1;2;     .;3;3;0;0;0;0;1;1;3;6;4;3;2;2;2;2; ;50;1;1;2
2023;7;5657;346;11;40409;6;7;5;3;20230727;5; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2023;7;5657;347;11;40409;6;7;5;3;20230726;5; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2023;7;5657;348;11;40409;6;7;5;3;20230726;1;1;2;     .;3;3;0;0;0;0;1;5;6;6;7;1;1; ; ;2; ;40;2; ;2
2023;7;5691;8;11;50101;5;2;1;3;20230719;1;1;1;70104;1;1;1;0;1;1;0;1;1;3;1;4;3;1;1;2; ;500;1;1;2
2023;7;5691;22;11;50101;5;2;1;3;20230725;2;1;2;     .;1;1;1;1;0;1;0;1;1;1;1;5;3;1;1;2; ;1500;1;1;2
2023;7;5691;35;11;50101;5;2;1;3;20230707;1;1;2;     .;3;3;1;0;1;1;0;1;1;3;1;11;10;1;1;2; ;99999;2; ;2
2023;7;5691;48;11;50101;5;2;1;3;20230726;1;1;2;     .;1;2;1;0;1;1;0;1;1;5;1;2;1;3;3;1;500; ; ; ;2
2023;7;5691;102;11;50101;5;2;1;3;20230705;1;2;2;     .;3;3;1;0;1;1;0;4;1;3;1;1;0;3;3;1;230; ; ; ;2
2023;7;5691;115;11;50101;5;2;1;3;20230707;1;1;2;     .;1;3;1;0;1;1;0;1;1;5;1;4;1;1;1;2; ;800;1;1;2
2023;7;5691;128;11;50101;5;2;1;3;20230712;1;1;2;     .;1;1;1;0;1;1;0;3;1;5;4;2;1;2;2;6; ;200; ; ;2
2023;7;5691;141;11;50101;5;2;1;3;20230725;3; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2023;7;5863;6;11;60101;4;2;2;3;20230712;1;2;2;     .;2;2;1;0;1;1;0;4;1;3;5;2;1;1;1;2; ;100;1;1;2
2023;7;5863;17;11;60101;4;2;2;3;20230714;1;1;2;     .;3;1;1;0;1;1;0;1;3;5;3;3;2;2;2;6; ;300; ; ;2
2023;7;5863;40;11;60101;4;2;2;3;20230715;4; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2023;7;5863;51;11;60101;4;2;2;3;20230713;2;1;2;     .;3;3;1;0;1;1;0;1;3;3;4;4;3;2;2;2; ;800;2; ;2
2023;7;5863;61;11;60101;4;2;2;3;20230715;3; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2023;7;5863;73;11;60101;4;2;2;3;20230715;1;1;2;     .;2;1;1;0;1;1;0;1;3;5;3;3;2;1;2;2; ;800;2; ;2
2023;7;5892;27;11;60601;4;5;1;3;20230706;7; ; ;     .; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2023;7;5892;78;11;60601;4;5;1;3;20230707;1;1;2;     .;3;3;0;1;0;1;0;1;1;5;1;4;2;2;2;2; ;100;1;1;2
2023;7;5892;104;11;60601;4;5;1;3;20230710;1;1;1;140112;3;1;1;1;0;1;0;1;3;5;4;3;2;2;2;2; ;200;1;2;2
2023;7;5892;151;11;60601;4;5;1;3;20230706;1;1;1;60614;3;1;0;1;0;1;0;1;3;5;4;2;1;1;2;2; ;100;2; ;2
